body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.formato,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passos,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok,http_access,12,666de144-563d-437c-accf-e8de6248186f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,POST,200,/diagnostico/api/ping,INFO,1786485844000000000,5bbe3df35c3c4a5c8de77f898d8805ac
evento=ping_simulado status=ok,ping_simulado,,64825635-e467-42b6-a05d-55acab03de2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diagnostico,ok,POST,,/diagnostico/api/ping,INFO,1786485844000000000,5bbe3df35c3c4a5c8de77f898d8805ac
evento=ping_executado status=ok host=visitante-003,ping_executado,,184144f5-a4f6-477f-859e-beb0e9853835,,,,,,,,,,,,,,,visitante-003,,,,,,,,,,,,,,,,,,diagnostico,ok,POST,,/diagnostico/api/ping,INFO,1786485844000000000,5bbe3df35c3c4a5c8de77f898d8805ac
evento=http_access status=ok,http_access,0,502d838a-a647-4b7e-aa4a-a3be602c42ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485839000000000,8b92a88ba8fa4d419bf2f55ad124b945
evento=http_access status=ok,http_access,5,013bb2c0-33be-4ac9-b770-6798dcec3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1786485839000000000,53a92d2433e04da5b40b100059e5589c
evento=http_access status=ok,http_access,0,fccf30a8-ae65-44b1-a1a4-0b987e7da6d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485830000000000,057db5410b394dfa9539473a966d2945
evento=http_access status=ok,http_access,7,bf9e38fd-0308-42f7-af5c-56d36a084375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1786485830000000000,548e4958148544d0a15ee91c0204fff9
evento=http_access status=ok,http_access,18,c19c3ac9-6993-4f71-b126-42f3eaed8b02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,POST,200,/resolucao-problemas,INFO,1786485785000000000,61906c54dd7a48bf9c640ffa4f1c961c
evento=engenharia_reversa_export status=ok formato=scripts roteadores=3,engenharia_reversa_export,,2e70f5d7-5422-41b3-9894-8c4a2190b40a,,,,,,,,,,,,,scripts,,,,,,,,,,,,,,,,3,,,,resolucaoProblemas,ok,POST,,/resolucao-problemas,INFO,1786485785000000000,61906c54dd7a48bf9c640ffa4f1c961c
evento=engenharia_reversa_parse status=ok avisos=0 consistente=true enlaces=3 errosCorrigidos=0 errosSemCorrecao=0 linhas=80 naoInterpretadas=3 pendencias=0 roteadores=3,engenharia_reversa_parse,,fd5554c6-8b6f-4f22-b7e7-7eb5db94ef71,,,0,,true,,,,,3,0,0,,,,,,80,,,3,,,0,,,,,3,,,,resolucaoProblemas,ok,POST,,/resolucao-problemas,INFO,1786485785000000000,61906c54dd7a48bf9c640ffa4f1c961c
evento=http_access status=ok,http_access,1,868681c4-81f3-4aa4-bbd7-18e4a8b6eca1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485767000000000,e0041bfdd9bb4acb9f8d973af6cb0c76
evento=http_access status=ok,http_access,355,ccbb4585-dec8-4a95-b707-12ee528c395f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,POST,200,/resolucao-problemas,INFO,1786485766000000000,c198ef4a21a7464cbeb7351568444d1d
evento=engenharia_reversa_parse status=ok avisos=0 consistente=true enlaces=3 errosCorrigidos=0 errosSemCorrecao=0 linhas=80 naoInterpretadas=3 pendencias=0 roteadores=3,engenharia_reversa_parse,,6dc4e0aa-5fb8-4dbf-aadd-c76ccdda826f,,,0,,true,,,,,3,0,0,,,,,,80,,,3,,,0,,,,,3,,,,resolucaoProblemas,ok,POST,,/resolucao-problemas,INFO,1786485766000000000,c198ef4a21a7464cbeb7351568444d1d
evento=http_access status=ok,http_access,1,b2baf95a-11ca-4365-adae-fb313f95335b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485704000000000,66e87f709ba544fbaafbea5e6262d5e9
evento=http_access status=ok,http_access,10,52077b94-d14b-463f-b8ef-ddf006a7def2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786485704000000000,2b5ee45da2f949828bdc38589ccfec72
evento=http_access status=ok,http_access,0,620eaeb1-2f12-41f9-988d-ecd3dd1f76c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485703000000000,62a9a4a851984356b6b19a9ca087b5cc
evento=http_access status=ok,http_access,428,b1cc88c0-f95a-4d1b-aeaa-b00d6963039e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786485703000000000,95b7251ad5e04c999a30ad63389b9ff4
evento=http_access status=ok,http_access,32,3fc9f3c6-8cb2-436b-b194-5fc4e6bce63d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485695000000000,2ffd547655c54e64b57e06811baf6431
evento=http_access status=ok,http_access,125,d9ee99e7-ef71-46b8-a45a-887726baa54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786485692000000000,1eecca76a7454d27af153184020830df
evento=http_access status=ok,http_access,3,65fad5bd-5c68-45a5-b512-97df9f7e3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786419600000000000,ee99799dfde749749cfaac95d6455ca2
evento=http_access status=ok,http_access,9,70fda540-2317-42db-ad35-506dd0ef1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1786419600000000000,19aed632315f440f9b310e96c2f0d726
evento=http_access status=ok,http_access,1,ad1e2deb-ca3e-40dd-809b-d7df943af1b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786419576000000000,04c23c751f144e39bdd444be767c932c
evento=http_access status=ok,http_access,11,6c71d5eb-2d2c-4ef6-af13-195b314dedc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1786419576000000000,55dc983744ae4b5eb496b804f89868e0
evento=http_access status=ok,http_access,7,64164ac5-6eeb-46a1-b2af-05fc12247b2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786419571000000000,b55f3e5527da43d8ab8951184d2074a5
evento=http_access status=ok,http_access,13,82f1487e-e74c-4f02-a728-ee2ff832844c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786419570000000000,37ddaf373d174fca9aef90c8b295e037
evento=http_access status=ok,http_access,55,c8cf9559-3450-4172-b8cc-1bba50edb4d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1786419545000000000,cf98223284ed46cd85aa2dd26dc1f445
evento=app_start status=ok,app_start,,71819f50-ca40-4d09-94ba-7870131c47ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sistema,ok,,,,INFO,1786419016000000000,
evento=pagina_erro_exibida status=warn metodo=GET rota=/rota-inexistente-para-verificar-csp traceId=err-9bf3d771-5b5f,pagina_erro_exibida,,94e78971-1b83-40a0-a078-3004ab7c8e12,,,,,,,,,,,,,,,,,,,,GET,,,,,,,,/rota-inexistente-para-verificar-csp,,,,err-9bf3d771-5b5f,paginaErros,warn,,,,WARN,1786418394000000000,
evento=http_access status=ok,http_access,1,3e864cba-8eff-4e73-8a34-1f2a4c6f02b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1786418391000000000,1c49857457f3485b91d00098aec799c9
evento=http_access status=ok,http_access,2,a42fc1e8-88d4-44aa-a945-5e652b0e8e71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1786418389000000000,ba1253c9329b4975b9da31033baf2933
evento=http_access status=ok,http_access,2,1a2ebaf3-efc8-46b3-a459-cc5a6aae8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1786418386000000000,962e24c860244e6bb214e97c8e2abd21
evento=http_access status=ok,http_access,4,86f168c7-f91c-4c6a-a24b-831f79593f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1786418384000000000,f251335f379e451c93a06c1832604011
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,380aa2d1-88d1-4e6e-ac75-8a3b4f61f27b,,,,,,true,,,true,,,,,,,,,,,,,9,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1786418384000000000,f251335f379e451c93a06c1832604011
evento=http_access status=ok,http_access,2,715cf2ab-ddc8-4acf-9291-462a37722dea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1786418384000000000,d3a5a85ad0934716a6362c6ea0939822
evento=http_access status=ok,http_access,46,62be809f-57ba-4f26-852e-7d2c6c273557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786418381000000000,109053116e6a4c5a93761eefd094705d
evento=engenharia_reversa_parse status=ok avisos=3 consistente=true enlaces=3 errosCorrigidos=14 errosSemCorrecao=0 linhas=58 naoInterpretadas=0 pendencias=0 roteadores=3,engenharia_reversa_parse,,51a9b73a-34ad-42e6-ba59-e925c11eaaf8,,,3,,true,,,,,3,14,0,,,,,,58,,,0,,,0,,,,,3,,,,resolucaoProblemas,ok,GET,,/resolucao-problemas,INFO,1786418381000000000,109053116e6a4c5a93761eefd094705d
evento=http_access status=ok,http_access,20,93876225-61e8-4e27-9868-7b31ece0b07d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786418378000000000,e362f95a4e634fd799a55a2ef70088fc
evento=http_access status=ok,http_access,33,70566990-4fa7-407f-a597-e3fd5d351ffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ssh,INFO,1786418375000000000,17cd4dd210fd4ce8957968de976a88cb
evento=aprofundamento_view status=ok autenticacoes=6 conceitos=6 encaminhamentos=6 hardening=10 protocolo=ssh,aprofundamento_view,,dfebf39f-1c12-4dd2-bcb7-b493e0d4cda9,,6,,6,,,,6,,,,,,10,,,,,,,,,,,,ssh,,,,,,,protocolos,ok,GET,,/protocolos/ssh,INFO,1786418375000000000,17cd4dd210fd4ce8957968de976a88cb
evento=http_access status=ok,http_access,53,162eef1a-da53-443a-867e-90e8229b8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/bgp,INFO,1786418372000000000,227ff04fe22146b0babb4261c09b6891
evento=aprofundamento_view status=ok atributos=8 conceitos=6 passosSelecao=14 protecoes=6 protocolo=bgp,aprofundamento_view,,77098c1e-e55f-4c1a-ad0c-94b2a57db0b4,8,,,6,,,,,,,,,,,,,,,,,,,14,,6,bgp,,,,,,,protocolos,ok,GET,,/protocolos/bgp,INFO,1786418372000000000,227ff04fe22146b0babb4261c09b6891
evento=http_access status=ok,http_access,54,01f89474-76dd-46ed-9e1b-208b7b967c71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=catalog_load status=ok total=47,catalog_load,,17e6151c-9d9b-489d-b9d2-43bb9ac8f398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=catalog_load status=ok total=47,catalog_load,,ab7b8d58-974a-45d7-b0a4-622238206ba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=http_access status=ok,http_access,14,4cd766f4-8ccc-4533-9583-db8d2c79f522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786418367000000000,ad1962a0d3ec4057838674a1cf910266
evento=catalog_load status=ok total=30,catalog_load,,9c362ee2-153b-4e5a-9cbe-1bf130dec614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786418367000000000,ad1962a0d3ec4057838674a1cf910266
evento=http_access status=ok,http_access,78,f4c8c702-e51f-4412-b4fc-1057df462d03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1786418364000000000,da2d4e9a77b94160ba60a139635e8394
