body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,8ede3089-d3f0-4bcf-99e7-6f20b38913b5,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1788807916000000000,8cb380f28c5b419a997d7fc6ab40e81a
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,6da6d6cc-9047-4a71-906f-bd302a37baa6,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807915000000000,8c2fc186cde0487881aa5f240eacf31f
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,9b3b637b-ac0e-4a93-b580-ca13379df96a,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1788807914000000000,fd4ef235dc234fc89ab575733a03932c
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,6c72031a-55b8-4104-ae89-c5be6552eb61,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807913000000000,84918060a3d144fea7d9e1381fa79109
evento=http_access status=ok durationMs=19 httpStatus=200,http_access,19,278fcbeb-85af-4b13-a07d-73cb61ebc27f,,,,,,,,19,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788807913000000000,d855ce49092d4fcbb086a0f147319824
evento=catalog_load status=ok total=47,catalog_load,,6ae7b698-7924-497e-bc00-62f32cbced83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788807913000000000,d855ce49092d4fcbb086a0f147319824
evento=catalog_load status=ok total=47,catalog_load,,5857c906-5f21-4e49-9571-3e3e4ab3a546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788807913000000000,d855ce49092d4fcbb086a0f147319824
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,1e7f42fa-13f8-418b-a6b0-4dfdb5a40e3a,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807912000000000,fa56514422184adc941b04288d6ab7c4
evento=http_access status=ok durationMs=12 httpStatus=200,http_access,12,c65f6549-2935-45fc-ad21-b28908b32a59,,,,,,,,12,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788807912000000000,24ecc81028e34acb9c7986d3874f692c
evento=catalog_load status=ok total=30,catalog_load,,d967de88-aea7-4e49-86d9-4e4f096926b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,portas,ok,GET,,/portas,INFO,1788807912000000000,24ecc81028e34acb9c7986d3874f692c
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,219716a5-67e0-430f-8512-8a5657c914d8,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807910000000000,cb8178c27c5c4156b7638cb3c68df59b
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,ff7fd9d7-bf6f-4578-bfa5-8f1ff23b5366,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1788807910000000000,e5d51171dddb45c990828a0322819f74
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,1658cd45-9385-4b14-8075-1d09b1659cf8,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807907000000000,b1959e808fea41209ff25f7cc21798d6
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,4020f8e6-db09-489f-8aaf-1af11c2a88cf,,,,,,,,6,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788807907000000000,84425700cceb40e29b0e5c9020c47c18
evento=catalog_load status=ok total=30,catalog_load,,c208e94f-f062-4187-9ea0-2dcf9f06a745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,portas,ok,GET,,/portas,INFO,1788807907000000000,84425700cceb40e29b0e5c9020c47c18
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,4e6712a3-af49-48dd-a226-b449de673a18,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807906000000000,c77a505fee79404683a10c2f45ec62f1
evento=http_access status=ok durationMs=21 httpStatus=200,http_access,22,cd35ca08-eda9-482b-823e-c87fe7eed741,,,,,,,,21,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788807906000000000,5ef65099ea8f458a8b32864b3760d175
evento=catalog_load status=ok total=47,catalog_load,,d0de5735-cb17-4975-a622-af15fe07eefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788807906000000000,5ef65099ea8f458a8b32864b3760d175
evento=catalog_load status=ok total=47,catalog_load,,27c8b179-8c2d-4b8b-98c6-70edff7c8533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788807906000000000,5ef65099ea8f458a8b32864b3760d175
evento=http_access status=ok durationMs=21 httpStatus=200,http_access,21,3b04c072-93e1-42dc-bb24-49787cb8d0dd,,,,,,,,21,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,POST,200,/seguranca/api/tls,INFO,1788807894000000000,c51eb346a1484c068bdebe3c71361ebc
evento=inspecao_tls status=ok durationMs=4,inspecao_tls,,711a8262-43d9-47c8-9112-2e13c051f9f0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,seguranca,ok,POST,,/seguranca/api/tls,INFO,1788807894000000000,c51eb346a1484c068bdebe3c71361ebc
evento=tls_inspecionado status=ok checagens=5 host=visitante-001 veredito=CONFIÁVEL,tls_inspecionado,,bf13a334-186e-4c52-bfc8-7b27b69df61f,,,,5,,,,,,,,visitante-001,,,,,,,,,,,,,,,,,,,CONFIÁVEL,seguranca,ok,POST,,/seguranca/api/tls,INFO,1788807894000000000,c51eb346a1484c068bdebe3c71361ebc
evento=http_access status=ok durationMs=3 httpStatus=200,http_access,3,f8f2af8a-1549-4431-8673-3b4ae8413ba5,,,,,,,,3,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807885000000000,40d97a6e9a3c4b7083c195e4d60e2d82
