body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok,http_access,1,4d65d9f3-2091-42e3-a97f-ea76667eaede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807801000000000,b23905177fce4661aed6cd02401275a4
evento=http_access status=ok,http_access,3,18f9a366-91ac-4d97-a8c7-6c9260a912bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1788807801000000000,8959efaab0714f0b8efb2378e7faca35
evento=http_access status=ok,http_access,0,a5c7d8d0-d49f-434c-817e-7a887f519c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807793000000000,ec59cadc2f8e4731903a11bf0cdcf291
evento=http_access status=ok,http_access,15,530db21e-d500-45c8-ae43-d8e1a83a97b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1788807793000000000,9625120437e64a9f955fb6665abf906b
evento=http_access status=ok,http_access,0,ddedc2f1-9b95-4ba5-9fea-338db33a2cee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807763000000000,7c058d8e8ab343f5b9cfeea76aefb365
evento=http_access status=ok,http_access,13,9ad45608-d8bc-4d97-bb25-520e02e24148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788807763000000000,e98d023f6f8d45f283f0d0b145814104
evento=catalog_load status=ok total=47,catalog_load,,2624ff55-fe88-4e61-bcbb-b7d99f694dc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788807763000000000,e98d023f6f8d45f283f0d0b145814104
evento=catalog_load status=ok total=47,catalog_load,,d8eaf532-a466-4f7f-bc0d-18c8cbaa35c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,protocolos,ok,GET,,/protocolos,INFO,1788807763000000000,e98d023f6f8d45f283f0d0b145814104
evento=http_access status=ok,http_access,1,52448c0f-1623-4655-b362-e87aa5ee9591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807756000000000,b1ebf93f1f8d408898bdd2984fcf0a5a
evento=http_access status=ok,http_access,13,8a01a4ca-0934-4db1-996d-2f2da7343f84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788807756000000000,b885e1bdd74f47c1b4fe4a7f57a72cac
