body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.durationMs,framework.field.encaminhamentos,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.hardening,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok,http_access,1,b4de8d48-0640-425b-a413-89c149418371,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503607000000000,de390cc192eb435b9ff1937dc18c429c
evento=http_access status=ok,http_access,243,b8e6de51-9d24-43cb-9f1f-9de3d6fb84f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1786503607000000000,0546d301c539438183a3976071df9ff9
evento=catalog_load status=ok total=47,catalog_load,,8cf9ebb3-fd99-46ba-8d7d-94586081086c,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786503607000000000,0546d301c539438183a3976071df9ff9
evento=catalog_load status=ok total=47,catalog_load,,138c0ae1-a874-4899-96c7-e77bd58476b9,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786503607000000000,0546d301c539438183a3976071df9ff9
evento=http_access status=ok,http_access,0,77363d08-95d7-45ca-83d3-159c0726196d,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503606000000000,ea38563650b641f08cc63013402d6658
evento=http_access status=ok,http_access,134,9d95d6f6-55e6-4843-ad44-3f0508ea2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786503606000000000,a146dc44d36840488b71e50cbdf3a1e6
evento=catalog_load status=ok total=30,catalog_load,,4ead508d-acb8-48d9-82dd-e3a19f5d0217,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786503606000000000,a146dc44d36840488b71e50cbdf3a1e6
evento=http_access status=ok,http_access,6,d43ba388-f40a-4e8c-82a0-da00eb70b114,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503605000000000,3da2bdcdabf64acc9a8882fe14f132c9
evento=http_access status=ok,http_access,12,e88934e4-5c44-48a4-9784-b224603fc7a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1786503605000000000,3eef5bb6204c42e6ba8e1d68f8bbf1b4
evento=http_access status=ok,http_access,70,d44deb24-98d5-429a-8288-0d672c96c91f,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786503604000000000,e83542d082e743e4b86382daf149d46f
evento=http_access status=ok,http_access,63,ac13aab4-5e1f-4815-a2cc-e3227acd9b6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786503604000000000,20b2068b78a04284a881abf7f5569241
evento=http_access status=ok,http_access,1,3f2272bb-a2f1-4f71-9d97-712335267617,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503604000000000,5487bc32f7bd4473b191a0cf793d06d4
evento=http_access status=ok,http_access,196,4bb86743-92ec-49f5-949c-3540040e4fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786503604000000000,08f360b3afc14133a8c4e4a9b97d1633
evento=http_access status=ok,http_access,10,f013a3d6-b80a-471a-8f3c-c1ff086f0fbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503603000000000,d1afb52ac0d748b297af5d7ff776b87b
evento=http_access status=ok,http_access,2106,d17e82f2-07aa-4e0c-8f6e-27dbc2fa3cfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1786503602000000000,06f80b8cc95540319fd7e6dc53702467
evento=http_access status=ok,http_access,36,d652c070-2837-48b1-88c8-3bc6f33ff9e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503601000000000,526babacb31b4a86812154c468123d2c
evento=catalog_load status=ok total=47,catalog_load,,1e18d44e-5e5c-4d92-a376-571f752db3d1,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786503600000000000,06f80b8cc95540319fd7e6dc53702467
evento=catalog_load status=ok total=47,catalog_load,,626930de-68b5-4c5b-8468-054a5718bef5,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786503600000000000,06f80b8cc95540319fd7e6dc53702467
evento=http_access status=ok,http_access,1,77f2df93-2095-4679-8ba1-e01897e08baf,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503598000000000,680cee70989045e6991f02abfa591525
evento=http_access status=ok,http_access,4,f1e57978-f8d3-4d3c-ad48-b1e94914a2c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1786503598000000000,d7525347972341ce9f45979e768a8881
evento=http_access status=ok,http_access,45,418ff2c8-522c-4646-8bca-8810c46f99ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503596000000000,fc059cb1884b4c6fbe9facb5dfcae2e1
evento=http_access status=ok,http_access,24,eb821920-d8ee-4ffd-9103-52d017ff002e,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503595000000000,7973b166f5e24c93b75adbd36a27ae6d
evento=http_access status=ok,http_access,93,1397507c-0905-4aef-9463-e04cd8472137,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503515000000000,4cfcef1ab4764524a7417f55426122ea
evento=http_access status=error,http_access,0,89a36ca2-e1b0-4747-81f1-f57eabd80197,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,error,GET,429,/analise,WARN,1786499863000000000,3d76c27de1304085a450edc223117020
evento=http_access status=error,http_access,1,c245c6a3-e2fa-43bf-a80c-755b433a592b,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,error,GET,429,/analise,WARN,1786499859000000000,8b2c3e95c3ca44a4bbc7e8c39927a616
evento=http_access status=error,http_access,0,ebd6a838-a3d5-4f1c-bce6-f7479f15bf59,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,error,GET,429,/analise,WARN,1786499857000000000,884c199f59ba48238e56520f5d85fd22
evento=http_access status=error,http_access,1,353ad846-6858-46be-bea1-85491333f160,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,error,GET,429,/analise,WARN,1786499856000000000,e8b7a554c5bc4faebeaf4a4f707d9c76
evento=http_access status=ok,http_access,2,f29eb0ea-f9b4-4661-8a38-217f95050e70,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499856000000000,b40ea11946014ba684ba752f83b5a017
evento=http_access status=ok,http_access,2,7d21cdb0-21ed-4d82-b8cd-ee0a628afd65,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499855000000000,d9e9036158b74c2da396b24c4d856cf1
evento=http_access status=ok,http_access,1,189bc992-21a7-434d-a1a7-089e7feda231,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499855000000000,d493b29cc69344f498192dab35958b72
evento=http_access status=ok,http_access,1,7aecb068-77fe-4d32-ac32-aef07d38ae38,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499854000000000,9052d12b27a74adc8ea8a57d9434252d
evento=http_access status=ok,http_access,1,47d58f68-edef-4b00-8f5a-a6293787cabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499854000000000,8ee53ccc408f4abf8720ecde9c16a5d6
evento=http_access status=ok,http_access,2,7e2028f1-33dd-4e93-b3b4-06de75c34550,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499853000000000,27d6be8c4d114f2aa6b007bf00dbd6f8
evento=http_access status=ok,http_access,2,1c8f9b93-a799-448b-b80f-3218a52804ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499853000000000,86002b2aa1fb4399b372474bfaabdb3c
evento=http_access status=ok,http_access,2,69541c56-ef48-432d-a002-3d5972484f92,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499852000000000,498e8c00bbc74c96abf1533c841d6deb
evento=http_access status=ok,http_access,1,8d8014e3-2c2a-4a5a-8abd-ad99562231ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499852000000000,7c33068ec6e4429d8a0c9efd969d37e1
evento=http_access status=ok,http_access,1,eca98bf2-ccfd-4c90-9e30-294abdd9cfd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786499851000000000,33eb80221a964ca78dfa284352685551
